Quellen-Kennung  	 Titel

	 S1 	Wetzlar Kirchenbuchkartei Verkartung -Kurzzeichen der Mitarbeiter-
	 S2 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1564-1611
	 S3 	Gemeindebuch der Kreissynoden Braunfels und Wetzlar
	 S4 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1633-1670
	 S5 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1671-1695
	 S6 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1695-1718
	 S7 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1718-1734
	 S8 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1735-1746
	 S9 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1746-1761
	 S10 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1761-1780
	 S11 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1780-1798
	 S12 	Wetzlar KbGb 1571-1613 lutherisch
	 S13 	Wetzlar KbHb 1564-1590 lutherisch
	 S14 	Wetzlar KbKb 1570-1584 lutherisch (Abendmahlsteilnahme)
	 S15 	Wetzlar KbGb 1614-1687 lutherisch
	 S16 	Wetzlar KbGb 1688-1744 KbKb 1688-1735 lutherisch
	 S17 	Weilburg KbHb 1723-1800
	 S18 	Wetzlar KbGb 1745-1810 KbKb 1759, 1764, 1802-1808 lutherisch
	 S19 	Oberwetz KbHb 1658-1800 Filial Ober- und Niederquembach reformiert
	 S20 	Wetzlar KbGb 1811-1820 KbKb 1813-1820 lutherisch
	 S21 	Wetzlar KbGb 1821-1831 lutherisch
     S22 	Wetzlar KbGb 1832-1837 lutherisch
	 S23 	Wetzlar KbGb 1838-1852 lutherisch
	 S24 	Wetzlar KbGb 1853-1867 lutherisch
	 S25 	Wetzlar KbGb 1868-1880 lutherisch
	 S26 	Wetzlar KbGb 1881-1895 lutherisch
	 S27 	Wetzlar KbGb 1897-1907 lutherisch
	 S28 	Wetzlar KbGb 1908-1923 lutherisch NV
	 S29 	Wetzlar KbGb 1924-1930 lutherisch NV
	 S30 	Wetzlar KbGb 1931-1936 lutherisch NV
	 S31 	Wetzlar KbGb 1937-1946 lutherisch NV
	 S32 	Wetzlar KbGb 1947-1951 lutherisch NV
	 S33 	Wetzlar KbGb 1952-1962 lutherisch NV
	 S34 	Wetzlar KbGb 1963-1963 lutherisch
     S35 	Wetzlar KbHb 1608-1693 lutherisch
	 S36 	Wetzlar KbSb 1613-1693 lutherisch
	 S37 	Wetzlar KbHb 1694-1776 lutherisch
	 S38 	Wetzlar KbSb 1694-1776 lutherisch
	 S39 	Wetzlar KbHb 1777-1810 lutherisch
	 S40 	Wetzlar Historisches Archiv der Stadt Wetzlar
	 S41 	Wetzlar KbHb 1811-1837 lutherisch
	 S42 	Wetzlar KbHb 1838-1862 lutherisch
